latitude	longitude
11.0547682	76.9941106
11.0796991	76.9997393
11.0781572	77.01182460000001
11.0766552	77.0024396
12.9545848	80.1565273
11.028159071469137	77.13046328545845
11.0499626	77.0003067
-38.6645738	143.1029791
53.7949721	-1.5473907
12.9729892	77.5726133
11.0784836	77.013503
19.0839041	72.84554760000002
19.0839041	72.84554760000002
22.5862546	88.3585597
13.0529523	80.2736192
27.1751448	78.0421422
11.0547682	76.9941106
12.982752	80.1681448
11.0512787	77.0188356
11.4922102	77.5592802
11.0738141	77.0018271
12.982752	80.1681448
11.0796991	76.9997393
11.0784836	77.013503
10.9692007	76.9887876
-6.2087634	106.845599
-6.2087634	106.845599
11.0833808	76.9898734
11.0781572	77.01182460000001
11.0781572	77.01182460000001
11.0781572	77.01182460000001
11.085806	77.01254449999999
11.0781572	77.01182460000001
11.0781572	77.01182460000001
10.9692007	76.9887876
10.9692007	76.9887876
11.0242544	77.00282279999999
10.9963799	77.0255008
11.0168445	76.9558321
11.0735946	77.0017617
11.0781572	77.01182460000001
9.9683358	76.2443081
11.1331021	77.03388679999999
28.7040592	77.10249019999999
12.305163	76.65517489999999
17.4562894	78.4665334
16.5154276	80.60598499999999
25.3270644	82.9862236
26.9124336	75.7872709
26.1584354	94.5624426
11.0242544	77.00282279999999
11.0737704	77.0121865
26.1307679	91.822386
12.8260148	80.2193449
54.2070588	-4.4069134
54.2070588	-4.4069134
54.2070588	-4.4069134
54.2070588	-4.4069134
54.2070588	-4.4069134
54.2070588	-4.4069134
11.0803066	76.9954162
11.0163915	77.01171219999999
15.785924817732898	78.0328782132477
14.636523976085831	77.5871437178253
28.4684844	77.0377829
11.082554	76.987855
12.996535	77.6778771
11.0547682	76.9941106
11.105115813365813	77.33738268669434
11.0753485	77.0166728
11.1518256	76.9327657
11.0077393	77.0267726
11.1057472	77.3508713
11.0796991	76.9997393
11.074562546801237	77.01372392536622
11.0388003	77.0316666
11.0304324	77.03909279999999
11.1518256	76.9327657
10.8661322	76.8776273
13.0827989	80.2754246
38.917948	-77.0237227
10.8165023	76.8022356
11.0449253	77.048745
11.1518256	76.93276569999999
11.0140057	76.9860896
12.97499225182903	80.25997538302
10.7759703	76.65238219999999
11.0237524	76.9452173
11.077201	77.01093
11.0861407	77.1161561
11.075842	77.0106656
11.059206	77.0893964
28.6881074	77.1245253
12.9928377	80.2182057
11.0242544	77.00282279999999
10.9037905	76.89835169999999
11.0758271	77.0107135
10.9722154	78.07772609999999
34.2268475	77.5619419
11.664325	78.1460142
11.1518256	76.9327657
13.0091008	80.21102
11.0052962	76.99166749999999
11.0553431	77.0655238
13.0069232	80.2054874
11.0164343	76.9697217
11.0237524	76.9452173
11.0390221	76.87642
18.9951446	72.8258656
10.9534986	78.1036395
11.1950946	77.2955783
11.0127116	76.99315240000001
11.664325	78.1460142
11.0553431	77.0655238
12.3240432	76.5962269
11.1059154	77.33883460000001
10.9991378	76.9772675
11.047	76.9989
11.046494557919079	76.9556413330078
11.047	76.9989
11.047	76.9989
11.0758431	77.010648
11.044813380515949	76.94796388203125
11.0106193	76.9516149
13.0374892	80.2315728
11.0171735	76.970175
11.0561286	77.0385531
12.9259401	77.5830419
11.0457342	77.03995859999999
11.038643	76.867772
11.4119993	76.708556
11.0754802	77.0030307
13.1034808	77.58437579999999
26.8722742	75.7991582
10.9688211	76.90712909999999
11.0754802	77.0030307
11.0754802	77.0030307
28.5950829	77.1709187
26.9247365	75.81843429999999
-6.9152733	107.5945388
8.081605	77.5486461
11.0286007	79.8547524